sentence,class
If Ethan lives in Imām Şāḩib then Ethan lives in Afghanistan or If Ethan lives in Kunduz Province then Ethan lives in Afghanistan,5
If Ethan lives in Imām Şāḩib then Ethan lives in Asia or If Ethan lives in Kunduz Province then Ethan lives in Asia,5
If Quincy lives in Khanabad then Quincy lives in Kunduz Province,1
If Quincy lives in Khanabad then Quincy lives in Afghanistan,1
If Quincy lives in Khanabad then Quincy lives in Asia,1
If Quincy lives in Kunduz Province then Quincy lives in Afghanistan,1
If Quincy lives in Kunduz Province then Quincy lives in Asia,1
If Quincy lives in Afghanistan then Quincy lives in Asia,1
If Quincy lives in Khanabad then Quincy lives in Kunduz Province and If Quincy lives in Khanabad then Quincy lives in Afghanistan,2
If Quincy lives in Khanabad then Quincy lives in Kunduz Province or If Quincy lives in Khanabad then Quincy lives in Afghanistan,3
If Quincy lives in Khanabad then Quincy lives in Afghanistan and If Quincy lives in Kunduz Province then Quincy lives in Afghanistan,4
If Quincy lives in Khanabad then Quincy lives in Asia and If Quincy lives in Kunduz Province then Quincy lives in Asia,4
If Quincy lives in Khanabad then Quincy lives in Afghanistan or If Quincy lives in Kunduz Province then Quincy lives in Afghanistan,5
If Quincy lives in Khanabad then Quincy lives in Asia or If Quincy lives in Kunduz Province then Quincy lives in Asia,5
If Rachel lives in Kunduz then Rachel lives in Kunduz Province,1
If Rachel lives in Kunduz then Rachel lives in Afghanistan,1
If Rachel lives in Kunduz then Rachel lives in Asia,1
If Rachel lives in Kunduz Province then Rachel lives in Afghanistan,1
If Rachel lives in Kunduz Province then Rachel lives in Asia,1
If Rachel lives in Afghanistan then Rachel lives in Asia,1
If Rachel lives in Kunduz then Rachel lives in Kunduz Province and If Rachel lives in Kunduz then Rachel lives in Afghanistan,2
If Rachel lives in Kunduz then Rachel lives in Kunduz Province or If Rachel lives in Kunduz then Rachel lives in Afghanistan,3
If Rachel lives in Kunduz then Rachel lives in Afghanistan and If Rachel lives in Kunduz Province then Rachel lives in Afghanistan,4
If Rachel lives in Kunduz then Rachel lives in Asia and If Rachel lives in Kunduz Province then Rachel lives in Asia,4
If Rachel lives in Kunduz then Rachel lives in Afghanistan or If Rachel lives in Kunduz Province then Rachel lives in Afghanistan,5
If Rachel lives in Kunduz then Rachel lives in Asia or If Rachel lives in Kunduz Province then Rachel lives in Asia,5
If Charlie lives in Qarāwul then Charlie lives in Kunduz Province,1
If Charlie lives in Qarāwul then Charlie lives in Afghanistan,1
If Charlie lives in Qarāwul then Charlie lives in Asia,1
If Charlie lives in Kunduz Province then Charlie lives in Afghanistan,1
If Charlie lives in Kunduz Province then Charlie lives in Asia,1
If Charlie lives in Afghanistan then Charlie lives in Asia,1
If Charlie lives in Qarāwul then Charlie lives in Kunduz Province and If Charlie lives in Qarāwul then Charlie lives in Afghanistan,2
If Charlie lives in Qarāwul then Charlie lives in Kunduz Province or If Charlie lives in Qarāwul then Charlie lives in Afghanistan,3
If Charlie lives in Qarāwul then Charlie lives in Afghanistan and If Charlie lives in Kunduz Province then Charlie lives in Afghanistan,4
If Charlie lives in Qarāwul then Charlie lives in Asia and If Charlie lives in Kunduz Province then Charlie lives in Asia,4
If Charlie lives in Qarāwul then Charlie lives in Afghanistan or If Charlie lives in Kunduz Province then Charlie lives in Afghanistan,5
If Charlie lives in Qarāwul then Charlie lives in Asia or If Charlie lives in Kunduz Province then Charlie lives in Asia,5
If Ian lives in Mehtar Lām then Ian lives in Laghman,1
If Ian lives in Mehtar Lām then Ian lives in Afghanistan,1
If Ian lives in Mehtar Lām then Ian lives in Asia,1
If Ian lives in Laghman then Ian lives in Afghanistan,1
If Ian lives in Laghman then Ian lives in Asia,1
If Ian lives in Afghanistan then Ian lives in Asia,1
If Ian lives in Mehtar Lām then Ian lives in Laghman and If Ian lives in Mehtar Lām then Ian lives in Afghanistan,2
If Ian lives in Mehtar Lām then Ian lives in Laghman or If Ian lives in Mehtar Lām then Ian lives in Afghanistan,3
If Ian lives in Mehtar Lām then Ian lives in Afghanistan and If Ian lives in Laghman then Ian lives in Afghanistan,4
If Ian lives in Mehtar Lām then Ian lives in Asia and If Ian lives in Laghman then Ian lives in Asia,4
If Ian lives in Mehtar Lām then Ian lives in Afghanistan or If Ian lives in Laghman then Ian lives in Afghanistan,5
If Ian lives in Mehtar Lām then Ian lives in Asia or If Ian lives in Laghman then Ian lives in Asia,5
If Tina lives in Baraki Barak then Tina lives in Logar,1
If Tina lives in Baraki Barak then Tina lives in Afghanistan,1
If Tina lives in Baraki Barak then Tina lives in Asia,1
If Tina lives in Logar then Tina lives in Afghanistan,1
If Tina lives in Logar then Tina lives in Asia,1
If Tina lives in Afghanistan then Tina lives in Asia,1
If Tina lives in Baraki Barak then Tina lives in Logar and If Tina lives in Baraki Barak then Tina lives in Afghanistan,2
If Tina lives in Baraki Barak then Tina lives in Logar or If Tina lives in Baraki Barak then Tina lives in Afghanistan,3
If Tina lives in Baraki Barak then Tina lives in Afghanistan and If Tina lives in Logar then Tina lives in Afghanistan,4
If Tina lives in Baraki Barak then Tina lives in Asia and If Tina lives in Logar then Tina lives in Asia,4
If Tina lives in Baraki Barak then Tina lives in Afghanistan or If Tina lives in Logar then Tina lives in Afghanistan,5
If Tina lives in Baraki Barak then Tina lives in Asia or If Tina lives in Logar then Tina lives in Asia,5
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Logar,1
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Afghanistan,1
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Asia,1
If Oscar lives in Logar then Oscar lives in Afghanistan,1
If Oscar lives in Logar then Oscar lives in Asia,1
If Oscar lives in Afghanistan then Oscar lives in Asia,1
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Logar and If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Afghanistan,2
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Logar or If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Afghanistan,3
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Afghanistan and If Oscar lives in Logar then Oscar lives in Afghanistan,4
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Asia and If Oscar lives in Logar then Oscar lives in Asia,4
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Afghanistan or If Oscar lives in Logar then Oscar lives in Afghanistan,5
If Oscar lives in Ḩukūmatī Azrah then Oscar lives in Asia or If Oscar lives in Logar then Oscar lives in Asia,5
If Kevin lives in Pul-e ‘Alam then Kevin lives in Logar,1
If Kevin lives in Pul-e ‘Alam then Kevin lives in Afghanistan,1
If Kevin lives in Pul-e ‘Alam then Kevin lives in Asia,1
If Kevin lives in Logar then Kevin lives in Afghanistan,1
If Kevin lives in Logar then Kevin lives in Asia,1
If Kevin lives in Afghanistan then Kevin lives in Asia,1
If Kevin lives in Pul-e ‘Alam then Kevin lives in Logar and If Kevin lives in Pul-e ‘Alam then Kevin lives in Afghanistan,2
If Kevin lives in Pul-e ‘Alam then Kevin lives in Logar or If Kevin lives in Pul-e ‘Alam then Kevin lives in Afghanistan,3
If Kevin lives in Pul-e ‘Alam then Kevin lives in Afghanistan and If Kevin lives in Logar then Kevin lives in Afghanistan,4
If Kevin lives in Pul-e ‘Alam then Kevin lives in Asia and If Kevin lives in Logar then Kevin lives in Asia,4
If Kevin lives in Pul-e ‘Alam then Kevin lives in Afghanistan or If Kevin lives in Logar then Kevin lives in Afghanistan,5
If Kevin lives in Pul-e ‘Alam then Kevin lives in Asia or If Kevin lives in Logar then Kevin lives in Asia,5
If Lily lives in Bāsawul then Lily lives in Nangarhar,1
If Lily lives in Bāsawul then Lily lives in Afghanistan,1
If Lily lives in Bāsawul then Lily lives in Asia,1
If Lily lives in Nangarhar then Lily lives in Afghanistan,1
If Lily lives in Nangarhar then Lily lives in Asia,1
If Lily lives in Afghanistan then Lily lives in Asia,1
If Lily lives in Bāsawul then Lily lives in Nangarhar and If Lily lives in Bāsawul then Lily lives in Afghanistan,2
If Lily lives in Bāsawul then Lily lives in Nangarhar or If Lily lives in Bāsawul then Lily lives in Afghanistan,3
If Lily lives in Bāsawul then Lily lives in Afghanistan and If Lily lives in Nangarhar then Lily lives in Afghanistan,4
If Lily lives in Bāsawul then Lily lives in Asia and If Lily lives in Nangarhar then Lily lives in Asia,4
If Lily lives in Bāsawul then Lily lives in Afghanistan or If Lily lives in Nangarhar then Lily lives in Afghanistan,5
If Lily lives in Bāsawul then Lily lives in Asia or If Lily lives in Nangarhar then Lily lives in Asia,5
If Walter lives in Jalālābād then Walter lives in Nangarhar,1
If Walter lives in Jalālābād then Walter lives in Afghanistan,1
If Walter lives in Jalālābād then Walter lives in Asia,1
If Walter lives in Nangarhar then Walter lives in Afghanistan,1
If Walter lives in Nangarhar then Walter lives in Asia,1
If Walter lives in Afghanistan then Walter lives in Asia,1
If Walter lives in Jalālābād then Walter lives in Nangarhar and If Walter lives in Jalālābād then Walter lives in Afghanistan,2
If Walter lives in Jalālābād then Walter lives in Nangarhar or If Walter lives in Jalālābād then Walter lives in Afghanistan,3
If Walter lives in Jalālābād then Walter lives in Afghanistan and If Walter lives in Nangarhar then Walter lives in Afghanistan,4
If Walter lives in Jalālābād then Walter lives in Asia and If Walter lives in Nangarhar then Walter lives in Asia,4
If Walter lives in Jalālābād then Walter lives in Afghanistan or If Walter lives in Nangarhar then Walter lives in Afghanistan,5
If Walter lives in Jalālābād then Walter lives in Asia or If Walter lives in Nangarhar then Walter lives in Asia,5
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Nangarhar,1
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Afghanistan,1
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Asia,1
If Vera lives in Nangarhar then Vera lives in Afghanistan,1
If Vera lives in Nangarhar then Vera lives in Asia,1
If Vera lives in Afghanistan then Vera lives in Asia,1
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Nangarhar and If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Afghanistan,2
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Nangarhar or If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Afghanistan,3
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Afghanistan and If Vera lives in Nangarhar then Vera lives in Afghanistan,4
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Asia and If Vera lives in Nangarhar then Vera lives in Asia,4
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Afghanistan or If Vera lives in Nangarhar then Vera lives in Afghanistan,5
If Vera lives in Markaz-e Woluswalī-ye Āchīn then Vera lives in Asia or If Vera lives in Nangarhar then Vera lives in Asia,5
If Umar lives in Khāsh then Umar lives in Nimruz,1
If Umar lives in Khāsh then Umar lives in Afghanistan,1
If Umar lives in Khāsh then Umar lives in Asia,1
If Umar lives in Nimruz then Umar lives in Afghanistan,1
If Umar lives in Nimruz then Umar lives in Asia,1
If Umar lives in Afghanistan then Umar lives in Asia,1
If Umar lives in Khāsh then Umar lives in Nimruz and If Umar lives in Khāsh then Umar lives in Afghanistan,2
If Umar lives in Khāsh then Umar lives in Nimruz or If Umar lives in Khāsh then Umar lives in Afghanistan,3
If Umar lives in Khāsh then Umar lives in Afghanistan and If Umar lives in Nimruz then Umar lives in Afghanistan,4
If Umar lives in Khāsh then Umar lives in Asia and If Umar lives in Nimruz then Umar lives in Asia,4
If Umar lives in Khāsh then Umar lives in Afghanistan or If Umar lives in Nimruz then Umar lives in Afghanistan,5
If Umar lives in Khāsh then Umar lives in Asia or If Umar lives in Nimruz then Umar lives in Asia,5
If Lily lives in Mīrābād then Lily lives in Nimruz,1
If Lily lives in Mīrābād then Lily lives in Afghanistan,1
If Lily lives in Mīrābād then Lily lives in Asia,1
If Lily lives in Nimruz then Lily lives in Afghanistan,1
If Lily lives in Nimruz then Lily lives in Asia,1
If Lily lives in Afghanistan then Lily lives in Asia,1
If Lily lives in Mīrābād then Lily lives in Nimruz and If Lily lives in Mīrābād then Lily lives in Afghanistan,2
If Lily lives in Mīrābād then Lily lives in Nimruz or If Lily lives in Mīrābād then Lily lives in Afghanistan,3
If Lily lives in Mīrābād then Lily lives in Afghanistan and If Lily lives in Nimruz then Lily lives in Afghanistan,4
If Lily lives in Mīrābād then Lily lives in Asia and If Lily lives in Nimruz then Lily lives in Asia,4
If Lily lives in Mīrābād then Lily lives in Afghanistan or If Lily lives in Nimruz then Lily lives in Afghanistan,5
If Lily lives in Mīrābād then Lily lives in Asia or If Lily lives in Nimruz then Lily lives in Asia,5
If Paula lives in Rūdbār then Paula lives in Nimruz,1
If Paula lives in Rūdbār then Paula lives in Afghanistan,1
If Paula lives in Rūdbār then Paula lives in Asia,1
If Paula lives in Nimruz then Paula lives in Afghanistan,1
If Paula lives in Nimruz then Paula lives in Asia,1
If Paula lives in Afghanistan then Paula lives in Asia,1
If Paula lives in Rūdbār then Paula lives in Nimruz and If Paula lives in Rūdbār then Paula lives in Afghanistan,2
If Paula lives in Rūdbār then Paula lives in Nimruz or If Paula lives in Rūdbār then Paula lives in Afghanistan,3
If Paula lives in Rūdbār then Paula lives in Afghanistan and If Paula lives in Nimruz then Paula lives in Afghanistan,4
If Paula lives in Rūdbār then Paula lives in Asia and If Paula lives in Nimruz then Paula lives in Asia,4
If Paula lives in Rūdbār then Paula lives in Afghanistan or If Paula lives in Nimruz then Paula lives in Afghanistan,5
If Paula lives in Rūdbār then Paula lives in Asia or If Paula lives in Nimruz then Paula lives in Asia,5
If Alice lives in Zaranj then Alice lives in Nimruz,1
If Alice lives in Zaranj then Alice lives in Afghanistan,1
If Alice lives in Zaranj then Alice lives in Asia,1
If Alice lives in Nimruz then Alice lives in Afghanistan,1
If Alice lives in Nimruz then Alice lives in Asia,1
If Alice lives in Afghanistan then Alice lives in Asia,1
If Alice lives in Zaranj then Alice lives in Nimruz and If Alice lives in Zaranj then Alice lives in Afghanistan,2
If Alice lives in Zaranj then Alice lives in Nimruz or If Alice lives in Zaranj then Alice lives in Afghanistan,3
If Alice lives in Zaranj then Alice lives in Afghanistan and If Alice lives in Nimruz then Alice lives in Afghanistan,4
If Alice lives in Zaranj then Alice lives in Asia and If Alice lives in Nimruz then Alice lives in Asia,4
If Alice lives in Zaranj then Alice lives in Afghanistan or If Alice lives in Nimruz then Alice lives in Afghanistan,5
If Alice lives in Zaranj then Alice lives in Asia or If Alice lives in Nimruz then Alice lives in Asia,5
If Yara lives in Pārūn then Yara lives in Nuristan,1
If Yara lives in Pārūn then Yara lives in Afghanistan,1
If Yara lives in Pārūn then Yara lives in Asia,1
If Yara lives in Nuristan then Yara lives in Afghanistan,1
If Yara lives in Nuristan then Yara lives in Asia,1
If Yara lives in Afghanistan then Yara lives in Asia,1
If Yara lives in Pārūn then Yara lives in Nuristan and If Yara lives in Pārūn then Yara lives in Afghanistan,2
If Yara lives in Pārūn then Yara lives in Nuristan or If Yara lives in Pārūn then Yara lives in Afghanistan,3
If Yara lives in Pārūn then Yara lives in Afghanistan and If Yara lives in Nuristan then Yara lives in Afghanistan,4
If Yara lives in Pārūn then Yara lives in Asia and If Yara lives in Nuristan then Yara lives in Asia,4
If Yara lives in Pārūn then Yara lives in Afghanistan or If Yara lives in Nuristan then Yara lives in Afghanistan,5
If Yara lives in Pārūn then Yara lives in Asia or If Yara lives in Nuristan then Yara lives in Asia,5
If Paula lives in Gardez then Paula lives in Paktia,1
If Paula lives in Gardez then Paula lives in Afghanistan,1
If Paula lives in Gardez then Paula lives in Asia,1
If Paula lives in Paktia then Paula lives in Afghanistan,1
If Paula lives in Paktia then Paula lives in Asia,1
If Paula lives in Afghanistan then Paula lives in Asia,1
If Paula lives in Gardez then Paula lives in Paktia and If Paula lives in Gardez then Paula lives in Afghanistan,2
If Paula lives in Gardez then Paula lives in Paktia or If Paula lives in Gardez then Paula lives in Afghanistan,3
If Paula lives in Gardez then Paula lives in Afghanistan and If Paula lives in Paktia then Paula lives in Afghanistan,4
If Paula lives in Gardez then Paula lives in Asia and If Paula lives in Paktia then Paula lives in Asia,4
If Paula lives in Gardez then Paula lives in Afghanistan or If Paula lives in Paktia then Paula lives in Afghanistan,5
If Paula lives in Gardez then Paula lives in Asia or If Paula lives in Paktia then Paula lives in Asia,5
If Lily lives in Saṟōbī then Lily lives in Paktika,1
If Lily lives in Saṟōbī then Lily lives in Afghanistan,1
If Lily lives in Saṟōbī then Lily lives in Asia,1
If Lily lives in Paktika then Lily lives in Afghanistan,1
If Lily lives in Paktika then Lily lives in Asia,1
If Lily lives in Afghanistan then Lily lives in Asia,1
If Lily lives in Saṟōbī then Lily lives in Paktika and If Lily lives in Saṟōbī then Lily lives in Afghanistan,2
If Lily lives in Saṟōbī then Lily lives in Paktika or If Lily lives in Saṟōbī then Lily lives in Afghanistan,3
If Lily lives in Saṟōbī then Lily lives in Afghanistan and If Lily lives in Paktika then Lily lives in Afghanistan,4
If Lily lives in Saṟōbī then Lily lives in Asia and If Lily lives in Paktika then Lily lives in Asia,4
If Lily lives in Saṟōbī then Lily lives in Afghanistan or If Lily lives in Paktika then Lily lives in Afghanistan,5
If Lily lives in Saṟōbī then Lily lives in Asia or If Lily lives in Paktika then Lily lives in Asia,5
If Quincy lives in Zaṟah Sharan then Quincy lives in Paktika,1
If Quincy lives in Zaṟah Sharan then Quincy lives in Afghanistan,1
If Quincy lives in Zaṟah Sharan then Quincy lives in Asia,1
If Quincy lives in Paktika then Quincy lives in Afghanistan,1
If Quincy lives in Paktika then Quincy lives in Asia,1
If Quincy lives in Afghanistan then Quincy lives in Asia,1
If Quincy lives in Zaṟah Sharan then Quincy lives in Paktika and If Quincy lives in Zaṟah Sharan then Quincy lives in Afghanistan,2
If Quincy lives in Zaṟah Sharan then Quincy lives in Paktika or If Quincy lives in Zaṟah Sharan then Quincy lives in Afghanistan,3
If Quincy lives in Zaṟah Sharan then Quincy lives in Afghanistan and If Quincy lives in Paktika then Quincy lives in Afghanistan,4
If Quincy lives in Zaṟah Sharan then Quincy lives in Asia and If Quincy lives in Paktika then Quincy lives in Asia,4
If Quincy lives in Zaṟah Sharan then Quincy lives in Afghanistan or If Quincy lives in Paktika then Quincy lives in Afghanistan,5
If Quincy lives in Zaṟah Sharan then Quincy lives in Asia or If Quincy lives in Paktika then Quincy lives in Asia,5
If Zane lives in Zarghūn Shahr then Zane lives in Paktika,1
If Zane lives in Zarghūn Shahr then Zane lives in Afghanistan,1
If Zane lives in Zarghūn Shahr then Zane lives in Asia,1
If Zane lives in Paktika then Zane lives in Afghanistan,1
If Zane lives in Paktika then Zane lives in Asia,1
If Zane lives in Afghanistan then Zane lives in Asia,1
If Zane lives in Zarghūn Shahr then Zane lives in Paktika and If Zane lives in Zarghūn Shahr then Zane lives in Afghanistan,2
If Zane lives in Zarghūn Shahr then Zane lives in Paktika or If Zane lives in Zarghūn Shahr then Zane lives in Afghanistan,3
If Zane lives in Zarghūn Shahr then Zane lives in Afghanistan and If Zane lives in Paktika then Zane lives in Afghanistan,4
If Zane lives in Zarghūn Shahr then Zane lives in Asia and If Zane lives in Paktika then Zane lives in Asia,4
If Zane lives in Zarghūn Shahr then Zane lives in Afghanistan or If Zane lives in Paktika then Zane lives in Afghanistan,5
If Zane lives in Zarghūn Shahr then Zane lives in Asia or If Zane lives in Paktika then Zane lives in Asia,5
If Lily lives in Bāzārak then Lily lives in Panjshir,1
If Lily lives in Bāzārak then Lily lives in Afghanistan,1
If Lily lives in Bāzārak then Lily lives in Asia,1
If Lily lives in Panjshir then Lily lives in Afghanistan,1
If Lily lives in Panjshir then Lily lives in Asia,1
If Lily lives in Afghanistan then Lily lives in Asia,1
If Lily lives in Bāzārak then Lily lives in Panjshir and If Lily lives in Bāzārak then Lily lives in Afghanistan,2
If Lily lives in Bāzārak then Lily lives in Panjshir or If Lily lives in Bāzārak then Lily lives in Afghanistan,3
If Lily lives in Bāzārak then Lily lives in Afghanistan and If Lily lives in Panjshir then Lily lives in Afghanistan,4
If Lily lives in Bāzārak then Lily lives in Asia and If Lily lives in Panjshir then Lily lives in Asia,4
If Lily lives in Bāzārak then Lily lives in Afghanistan or If Lily lives in Panjshir then Lily lives in Afghanistan,5
If Lily lives in Bāzārak then Lily lives in Asia or If Lily lives in Panjshir then Lily lives in Asia,5
If Kevin lives in Charikar then Kevin lives in Parwan,1
If Kevin lives in Charikar then Kevin lives in Afghanistan,1
If Kevin lives in Charikar then Kevin lives in Asia,1
If Kevin lives in Parwan then Kevin lives in Afghanistan,1
If Kevin lives in Parwan then Kevin lives in Asia,1
If Kevin lives in Afghanistan then Kevin lives in Asia,1
If Kevin lives in Charikar then Kevin lives in Parwan and If Kevin lives in Charikar then Kevin lives in Afghanistan,2
If Kevin lives in Charikar then Kevin lives in Parwan or If Kevin lives in Charikar then Kevin lives in Afghanistan,3
If Kevin lives in Charikar then Kevin lives in Afghanistan and If Kevin lives in Parwan then Kevin lives in Afghanistan,4
If Kevin lives in Charikar then Kevin lives in Asia and If Kevin lives in Parwan then Kevin lives in Asia,4
If Kevin lives in Charikar then Kevin lives in Afghanistan or If Kevin lives in Parwan then Kevin lives in Afghanistan,5
If Kevin lives in Charikar then Kevin lives in Asia or If Kevin lives in Parwan then Kevin lives in Asia,5
If Oscar lives in Jabal os Saraj then Oscar lives in Parwan,1
If Oscar lives in Jabal os Saraj then Oscar lives in Afghanistan,1
If Oscar lives in Jabal os Saraj then Oscar lives in Asia,1
If Oscar lives in Parwan then Oscar lives in Afghanistan,1
If Oscar lives in Parwan then Oscar lives in Asia,1
If Oscar lives in Afghanistan then Oscar lives in Asia,1
If Oscar lives in Jabal os Saraj then Oscar lives in Parwan and If Oscar lives in Jabal os Saraj then Oscar lives in Afghanistan,2
If Oscar lives in Jabal os Saraj then Oscar lives in Parwan or If Oscar lives in Jabal os Saraj then Oscar lives in Afghanistan,3
If Oscar lives in Jabal os Saraj then Oscar lives in Afghanistan and If Oscar lives in Parwan then Oscar lives in Afghanistan,4
If Oscar lives in Jabal os Saraj then Oscar lives in Asia and If Oscar lives in Parwan then Oscar lives in Asia,4
If Oscar lives in Jabal os Saraj then Oscar lives in Afghanistan or If Oscar lives in Parwan then Oscar lives in Afghanistan,5
If Oscar lives in Jabal os Saraj then Oscar lives in Asia or If Oscar lives in Parwan then Oscar lives in Asia,5
If Ian lives in Aībak then Ian lives in Samangan,1
If Ian lives in Aībak then Ian lives in Afghanistan,1
If Ian lives in Aībak then Ian lives in Asia,1
If Ian lives in Samangan then Ian lives in Afghanistan,1
If Ian lives in Samangan then Ian lives in Asia,1
If Ian lives in Afghanistan then Ian lives in Asia,1
If Ian lives in Aībak then Ian lives in Samangan and If Ian lives in Aībak then Ian lives in Afghanistan,2
If Ian lives in Aībak then Ian lives in Samangan or If Ian lives in Aībak then Ian lives in Afghanistan,3
If Ian lives in Aībak then Ian lives in Afghanistan and If Ian lives in Samangan then Ian lives in Afghanistan,4
If Ian lives in Aībak then Ian lives in Asia and If Ian lives in Samangan then Ian lives in Asia,4
If Ian lives in Aībak then Ian lives in Afghanistan or If Ian lives in Samangan then Ian lives in Afghanistan,5
If Ian lives in Aībak then Ian lives in Asia or If Ian lives in Samangan then Ian lives in Asia,5
If Vera lives in Chīras then Vera lives in Sar-e Pol,1
If Vera lives in Chīras then Vera lives in Afghanistan,1
If Vera lives in Chīras then Vera lives in Asia,1
If Vera lives in Sar-e Pol then Vera lives in Afghanistan,1
If Vera lives in Sar-e Pol then Vera lives in Asia,1
If Vera lives in Afghanistan then Vera lives in Asia,1
If Vera lives in Chīras then Vera lives in Sar-e Pol and If Vera lives in Chīras then Vera lives in Afghanistan,2
If Vera lives in Chīras then Vera lives in Sar-e Pol or If Vera lives in Chīras then Vera lives in Afghanistan,3
If Vera lives in Chīras then Vera lives in Afghanistan and If Vera lives in Sar-e Pol then Vera lives in Afghanistan,4
If Vera lives in Chīras then Vera lives in Asia and If Vera lives in Sar-e Pol then Vera lives in Asia,4
If Vera lives in Chīras then Vera lives in Afghanistan or If Vera lives in Sar-e Pol then Vera lives in Afghanistan,5
If Vera lives in Chīras then Vera lives in Asia or If Vera lives in Sar-e Pol then Vera lives in Asia,5
If Nina lives in Larkird then Nina lives in Sar-e Pol,1
If Nina lives in Larkird then Nina lives in Afghanistan,1
If Nina lives in Larkird then Nina lives in Asia,1
If Nina lives in Sar-e Pol then Nina lives in Afghanistan,1
If Nina lives in Sar-e Pol then Nina lives in Asia,1
If Nina lives in Afghanistan then Nina lives in Asia,1
If Nina lives in Larkird then Nina lives in Sar-e Pol and If Nina lives in Larkird then Nina lives in Afghanistan,2
If Nina lives in Larkird then Nina lives in Sar-e Pol or If Nina lives in Larkird then Nina lives in Afghanistan,3
If Nina lives in Larkird then Nina lives in Afghanistan and If Nina lives in Sar-e Pol then Nina lives in Afghanistan,4
If Nina lives in Larkird then Nina lives in Asia and If Nina lives in Sar-e Pol then Nina lives in Asia,4
If Nina lives in Larkird then Nina lives in Afghanistan or If Nina lives in Sar-e Pol then Nina lives in Afghanistan,5
If Nina lives in Larkird then Nina lives in Asia or If Nina lives in Sar-e Pol then Nina lives in Asia,5
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Sar-e Pol,1
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Afghanistan,1
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Asia,1
If Ian lives in Sar-e Pol then Ian lives in Afghanistan,1
If Ian lives in Sar-e Pol then Ian lives in Asia,1
If Ian lives in Afghanistan then Ian lives in Asia,1
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Sar-e Pol and If Ian lives in Qal‘ah-ye Shahr then Ian lives in Afghanistan,2
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Sar-e Pol or If Ian lives in Qal‘ah-ye Shahr then Ian lives in Afghanistan,3
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Afghanistan and If Ian lives in Sar-e Pol then Ian lives in Afghanistan,4
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Asia and If Ian lives in Sar-e Pol then Ian lives in Asia,4
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Afghanistan or If Ian lives in Sar-e Pol then Ian lives in Afghanistan,5
If Ian lives in Qal‘ah-ye Shahr then Ian lives in Asia or If Ian lives in Sar-e Pol then Ian lives in Asia,5
If Nina lives in Sang-e Chārak then Nina lives in Sar-e Pol,1
If Nina lives in Sang-e Chārak then Nina lives in Afghanistan,1
If Nina lives in Sang-e Chārak then Nina lives in Asia,1
If Nina lives in Sar-e Pol then Nina lives in Afghanistan,1
If Nina lives in Sar-e Pol then Nina lives in Asia,1
If Nina lives in Afghanistan then Nina lives in Asia,1
If Nina lives in Sang-e Chārak then Nina lives in Sar-e Pol and If Nina lives in Sang-e Chārak then Nina lives in Afghanistan,2
If Nina lives in Sang-e Chārak then Nina lives in Sar-e Pol or If Nina lives in Sang-e Chārak then Nina lives in Afghanistan,3
If Nina lives in Sang-e Chārak then Nina lives in Afghanistan and If Nina lives in Sar-e Pol then Nina lives in Afghanistan,4
If Nina lives in Sang-e Chārak then Nina lives in Asia and If Nina lives in Sar-e Pol then Nina lives in Asia,4
If Nina lives in Sang-e Chārak then Nina lives in Afghanistan or If Nina lives in Sar-e Pol then Nina lives in Afghanistan,5
If Nina lives in Sang-e Chārak then Nina lives in Asia or If Nina lives in Sar-e Pol then Nina lives in Asia,5
If Walter lives in Sar-e Pul then Walter lives in Sar-e Pol,1
If Walter lives in Sar-e Pul then Walter lives in Afghanistan,1
If Walter lives in Sar-e Pul then Walter lives in Asia,1
If Walter lives in Sar-e Pol then Walter lives in Afghanistan,1
If Walter lives in Sar-e Pol then Walter lives in Asia,1
